2016-06,3.65625
2016-07,2.892857142857143
2016-08,3.25
2016-09,2.85
2016-10,3.857142857142857
2016-11,3.7142857142857144
2016-12,3.6470588235294117
2017-01,3.75
2017-02,1.6
2017-03,3.4444444444444446
2017-04,3.6666666666666665
2017-05,3.5
2017-06,3.5625
2017-07,2.5
2017-08,3.5
2017-09,3.2857142857142856
2017-10,3.6666666666666665
2017-11,3.8181818181818183
2017-12,2.8
2018-01,3.8333333333333335
2018-02,4.2
2018-03,3.142857142857143
2018-04,2.2
2018-05,4.5
2018-06,3.5714285714285716
2018-07,4.25
2018-08,3.0
2018-09,4.363636363636363
2018-10,4.2
2018-11,3.823529411764706
2018-12,4.333333333333333
2019-02,3.6666666666666665
